Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.oil,alpha.oilMean,arc_length,nut,p,pMean,p_rgh,vtkValidPointMask
361,-0.0055,0.006166,0,0.00826254,-13.3145,17.7688,0.380281,22.207,-8.49232,14.3611,-0.977488,16.7128,0.0400432,0.153509,0.002166,5.36856e-07,1282.93,5812.15,1285.04,1
362,-0.0055,0.006172,0,0.00826702,-13.8107,18.2915,0.352889,22.9224,-8.78971,14.8521,-0.880432,17.2806,0.0430351,0.160961,0.002172,4.34499e-07,1309.05,6144.04,1311.31,1
363,-0.0055,0.006178,0,0.0082715,-14.4748,18.95,0.327948,23.8481,-9.36799,15.6345,-0.768715,18.2425,0.0511405,0.171608,0.002178,3.75922e-07,1349.82,6942.21,1352.51,1
364,-0.0055,0.006184,0,0.00827598,-15.3676,19.7923,0.306488,25.0598,-10.3303,16.8112,-0.638444,19.7418,0.066322,0.186636,0.002184,3.76565e-07,1410.36,8384.29,1413.86,1
365,-0.0055,0.00619,0,0.00828047,-16.2634,20.6374,0.285202,26.277,-11.2983,17.9935,-0.508071,21.2527,0.0816524,0.201734,0.00219,3.77929e-07,1471.08,9835.86,1475.4,1
366,-0.0055,0.006196,0,0.00828495,-17.162,21.4854,0.264091,27.4996,-12.272,19.1813,-0.377596,22.7743,0.0971316,0.216903,0.002196,3.80015e-07,1531.98,11296.9,1537.12,1
367,-0.0055,0.006202,0,0.00828944,-18.0634,22.3363,0.243155,28.7273,-13.2514,20.3747,-0.247019,24.3061,0.112759,0.232143,0.002202,3.82821e-07,1593.05,12767.4,1599.03,1
368,-0.0055,0.006208,0,0.00829393,-18.9678,23.19,0.222393,29.96,-14.2365,21.5735,-0.11634,25.8478,0.128535,0.247454,0.002208,3.86349e-07,1654.29,14247.3,1661.11,1
369,-0.0055,0.006214,0,0.00829842,-19.875,24.0464,0.201807,31.1975,-15.2272,22.7778,0.0144314,27.3988,0.144458,0.262834,0.002214,3.90596e-07,1715.7,15736.6,1723.38,1
370,-0.0055,0.00622,0,0.00830291,-20.7851,24.9057,0.181394,32.44,-16.2236,23.9877,0.145316,28.9592,0.16053,0.278286,0.00222,3.95565e-07,1777.3,17235.4,1785.83,1
371,-0.0055,0.006226,0,0.00830741,-21.6982,25.7679,0.161156,33.6871,-17.2257,25.2031,0.276305,30.5286,0.176749,0.293808,0.002226,4.01254e-07,1839.06,18743.6,1848.46,1
372,-0.0055,0.006232,0,0.00831191,-22.614,26.6329,0.141091,34.9389,-18.2334,26.424,0.407398,32.1068,0.193115,0.3094,0.002232,4.07663e-07,1901.01,20261.2,1911.28,1
373,-0.0055,0.006238,0,0.00831641,-23.5328,27.5007,0.121201,36.1952,-19.2468,27.6503,0.538594,33.6938,0.209629,0.325063,0.002238,4.14792e-07,1963.12,21788.1,1974.27,1
374,-0.0055,0.006244,0,0.00832091,-24.4544,28.3713,0.101484,37.4561,-20.2659,28.8822,0.669896,35.2893,0.22629,0.340796,0.002244,4.22641e-07,2025.41,23324.5,2037.45,1
375,-0.0055,0.00625,0,0.00832541,-25.3789,29.2448,0.0819419,38.7214,-21.2905,30.1196,0.801302,36.8933,0.243097,0.356599,0.00225,4.31211e-07,2087.86,24870.2,2100.8,1
376,-0.0055,0.006256,0,0.00832992,-26.3062,30.121,0.0625733,39.9912,-22.3208,31.3624,0.932814,38.5057,0.26005,0.372471,0.002256,4.40499e-07,2150.5,26425.2,2164.34,1
377,-0.0055,0.006262,0,0.00833443,-27.2363,31,0.0433784,41.2653,-23.3567,32.6107,1.06443,40.1264,0.27715,0.388414,0.002262,4.50508e-07,2213.3,27989.5,2228.06,1
378,-0.0055,0.006268,0,0.00833893,-28.1694,31.8819,0.0243572,42.5437,-24.3983,33.8645,1.19616,41.7554,0.294396,0.404426,0.002268,4.61235e-07,2276.27,29563.2,2291.95,1
379,-0.0055,0.006274,0,0.00834345,-29.0886,32.7282,0.00689959,43.7868,-25.4889,35.1039,1.32804,43.402,0.313613,0.421061,0.002274,5.0627e-07,2532.13,31534.3,2548.84,1
380,-0.0055,0.00628,0,0.00834796,-29.9336,33.4031,-0.00421508,44.8529,-26.7761,36.2547,1.46006,45.0943,0.341085,0.44022,0.00228,7.02826e-07,3662.21,35258.6,3680.41,1
381,-0.0055,0.006286,0,0.00835247,-30.7765,34.0755,-0.0152389,45.9166,-28.061,37.4014,1.5917,46.7848,0.368576,0.459389,0.002286,9.00682e-07,4810.77,39001.1,4830.46,1
382,-0.0055,0.006292,0,0.00835699,-31.6174,34.7455,-0.0261719,46.9778,-29.3437,38.5442,1.72298,48.4734,0.396086,0.478568,0.002292,1.09984e-06,5977.75,42761.7,5998.94,1
383,-0.0055,0.006298,0,0.00836151,-32.4562,35.413,-0.0370143,48.0363,-30.6242,39.6828,1.85388,50.1598,0.423615,0.497757,0.002298,1.30029e-06,7163.15,46540.4,7185.83,1
384,-0.0055,0.006304,0,0.00836603,-33.2929,36.0781,-0.0477661,49.0922,-31.9025,40.8175,1.98441,51.8438,0.451163,0.516955,0.002304,1.50204e-06,8366.91,50337.1,8391.09,1
385,-0.0055,0.00631,0,0.00837055,-34.1275,36.7407,-0.0584274,50.1455,-33.1786,41.9481,2.11458,53.5251,0.47873,0.536163,0.00231,1.70509e-06,9589.02,54151.8,9614.7,1
386,-0.0055,0.006316,0,0.00837507,-34.9601,37.4009,-0.0689985,51.1961,-34.4525,43.0747,2.24437,55.2036,0.506317,0.555382,0.002316,1.90943e-06,10829.4,57984.5,10856.6,1
387,-0.0055,0.006322,0,0.0083796,-35.7905,38.0587,-0.0794793,52.2439,-35.7242,44.1973,2.3738,56.8793,0.533922,0.574609,0.002322,2.11505e-06,12088.2,61835.2,12116.8,1
388,-0.0055,0.006328,0,0.00838413,-36.6189,38.714,-0.0898699,53.2891,-36.9937,45.3158,2.50285,58.5519,0.561547,0.593847,0.002328,2.32197e-06,13365.1,65703.9,13395.3,1
389,-0.0055,0.006334,0,0.00838866,-37.4452,39.3668,-0.10017,54.3314,-38.261,46.4303,2.63154,60.2213,0.589188,0.613093,0.002334,2.53017e-06,14660.2,69590.1,14691.9,1
390,-0.0055,0.00634,0,0.00839319,-38.2695,40.0173,-0.11038,55.371,-39.5261,47.5409,2.75986,61.8875,0.616851,0.63235,0.00234,2.73966e-06,15973.6,73494.6,16006.8,1
391,-0.0055,0.006346,0,0.00839772,-39.0918,40.6653,-0.120501,56.4079,-40.7891,48.6475,2.88782,63.5505,0.644533,0.651617,0.002346,2.95044e-06,17305.1,77417,17339.8,1
392,-0.0055,0.006352,0,0.00840226,-39.9119,41.3109,-0.130532,57.4419,-42.0499,49.7501,3.01541,65.2101,0.672235,0.670894,0.002352,3.16251e-06,18654.8,81357.2,18691,1
